what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728268988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728271296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728272109
error,log,,,"No Byte Stream Services found for Nios II Console View",1495728273759
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495728273892
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495728275860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728279538
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1495728279722
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1495728279773
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495728279872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728281257
activated,perspective,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui.debugPerspective",1495728281297
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495728283589
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1495728288469
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1495728290051
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1495728290126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728292290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728442449
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495728443275
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495728483976
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495728484010
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495728490594
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495728490594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495728523432
